Class-Section,"Professor, Name      ",Class Name,Location,Meeting Dates,Book Name,ISBN,CRN
ACCT 115-002,"Gomez, Steven      ",FUND OF FINANCIAL ACCOUNTING,KUPF 206,MW- 01:00 PM - 02:20 PM,,,10001
ACCT 115-102,"Gomez, Steven      ",FUND OF FINANCIAL ACCOUNTING,KUPF 202,M- 06:00 PM - 08:50 PM,"Accounting (Loose Pgs)(w/Wiley Plus Access Code)
Accounting (WileyPlus Access)","9781119221951
9781118869970",10002
ACCT 115-104,"Deegan, Jeffrey      ",FUND OF FINANCIAL ACCOUNTING,CULM 110,T- 06:00 PM - 08:50 PM,"Accounting (Loose Pgs)(w/Wiley Plus Access Code)
Accounting (WileyPlus Access)","9781119221951
9781118869970",10003
ACCT 115-CHS,,FUND OF FINANCIAL ACCOUNTING,, -,,,16046
ACCT 117-002,"Deegan, Jeffrey      ",PRINCIPLES OF FIN ACCOUNTNG,KUPF 207,MR- 10:00 AM - 11:20 AM,"Accounting (WileyPlus Access)
Accounting (Loose Pgs)(w/Wiley Plus Access Code)","9781118869970
9781119221951",10004
ACCT 117-102,"Occhifinto, Nicholas      ",PRINCIPLES OF FIN ACCOUNTNG,KUPF 206,F- 06:00 PM - 08:50 PM,,,10005
ACCT 117-104,"Occhifinto, Nicholas      ",PRINCIPLES OF FIN ACCOUNTNG,KUPF 206,T- 06:00 PM - 08:50 PM,,,10006
ACCT 215-002,"Tamke, William      ",MANAGERIAL ACCOUNTING I,KUPF 207,TR- 11:30 AM - 12:50 PM,"Accounting (Loose Pgs)(w/Wiley Plus Access Code)
Accounting (WileyPlus Access)","9781119221951
9781118869970",10007
ACCT 215-102,"Tamke, William      ",MANAGERIAL ACCOUNTING I,KUPF 203,M- 06:00 PM - 08:50 PM,"Accounting (WileyPlus Access)
Accounting (Loose Pgs)(w/Wiley Plus Access Code)","9781118869970
9781119221951",10008
ACCT 335-002,"Occhifinto, Nicholas      ",MANAGERIAL ACCOUNTING II,KUPF 118,TF- 04:00 PM - 05:20 PM,,,10009
ACCT 403-102,"Tamke, William      ",FINANCIAL STATEMENT ANALYSIS,KUPF 209,T- 06:00 PM - 08:50 PM,Financial Statement Analysis & Valuation (w/Bind-In Access),9781620000000,10010
ACCT 415-102,"Fox, Wayne      ",AUDITING,FMH 314,M- 06:00 PM - 08:50 PM,,,15707
ACCT 435-102,"Anandarajan, Asokan      ",INTERMEDIATE ACCOUNTING II,TIER 107,W- 06:00 PM - 08:50 PM,,,10011
ACCT 615-102,"Ghosh, Aloke      ",MANAGEMENT ACCOUNTING,FMH 213,T- 06:00 PM - 08:50 PM,Survey of Accounting (LoosePgs)(w/WP Access Card),9781120000000,10012
ACCT 615-852,"Anandarajan, Asokan      ",MANAGEMENT ACCOUNTING,, -,,,10013
AD 111-002,"Brothers, David      ",COMM IN ART+ DES - TRAD MEDIA,,"M- 08:30 AM - 11:20 AM
W-08:30 AM - 11:20 AM",,,10014
AD 111-004,"Alcala, Jose      ",COMM IN ART+ DES - TRAD MEDIA,,"M- 08:30 AM - 11:20 AM
W-08:30 AM - 11:20 AM",,,10015
AD 111-006,"Sobers, Sophia      ",COMM IN ART+ DES - TRAD MEDIA,,"M- 08:30 AM - 11:20 AM
W-08:30 AM - 11:20 AM",,,10016
AD 112-002,"Nelson, Monica      ",COMM IN ART & DES-DIGTL MEDIA,CAMP 236E,"R- 08:30 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10017
AD 112-004,"Abdelazim, Mohamed Ali Mariam    ",COMM IN ART & DES-DIGTL MEDIA,,"R- 08:30 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10018
AD 112-006,"Gosser, Matthew      ",COMM IN ART & DES-DIGTL MEDIA,,"R- 08:30 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10019
AD 162-002,"Altin, Ersin      ",HISTORY OF ART AND DESIGN II,KUPF 210,TR- 11:30 AM - 12:50 PM,Art: Brief History (w/out MyArtLab Access Code),9780130000000,10020
AD 201-002,"Schwartz, Mathew      ",HUMAN FACTORS/ERGONOMICS,CKB 120,R- 08:30 AM - 11:20 AM,,,10021
AD 325-002,,ENTREPRENEURSHIP FOR DESIGNERS,,F- 01:00 PM - 04:00 PM,,,15762
AD 490-002,"Altin, Ersin      ",ST: ART AFTER THE 80'S,CKB 316,T- 01:00 PM - 03:50 PM,,,10022
AD 490-004,"Ross, Jessica      ",ST: STORYBOARDING,WEST 650,W- 11:30 AM - 02:20 PM,,,10023
AD 490-452,"Wendell, Augustus      ","ST: THE DIGITAL ASSET: MODELING, TEXURING AND MANAGING",, -,,,10025
AD 490-102,"Von, Koenig Gretchen     ",ST:ETHNOGRAPHIC METHODS & SPATIAL DESIGN: FIELDWORK IN PRACTICE,CKB 313,T- 06:00 PM - 08:50 PM,,,10024
AD 493-013,"Cays, John      ",INDEPENDENT STUDY,, -,,,10026
AD 493-032,"Wendell, Augustus      ",INDEPENDENT STUDY,, -,,,10027
ARCH 156-H10,"Harrell, Sissily      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10036
ARCH 156-H12,"Grieco, Caroline      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10037
ARCH 156-H14,"Alvarez, Erica      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10038
ARCH 156-H16,"Morrow, Gina      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10039
ARCH 156-HM1,,MODES OF DESIGN COMMUNICATION II - HONORS,,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10040
ARCH 156-HM2,,MODES OF DESIGN COMMUNICATION II - HONORS,,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10041
ARCH 156-HM4,"Corey, Scott      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10042
ARCH 156-HM6,"Bruno, Andrew      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
T-08:30 AM - 11:20 AM",,,10043
ARCH 156-HM8,"Cunningham, John      ",MODES OF DESIGN COMMUNICATION II - HONORS,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10044
ARCH 156-002,"Corey, Scott      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10028
ARCH 156-004,"Corey, Scott      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10029
ARCH 156-006,"Bruno, Andrew      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
T-08:30 AM - 11:20 AM",,,10030
ARCH 156-008,"Cunningham, John      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10031
ARCH 156-010,"Harrell, Sissily      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10032
ARCH 156-012,"Grieco, Caroline      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10033
ARCH 156-014,"Alvarez, Erica      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10034
ARCH 156-016,"Morrow, Gina      ",TOOLS AND TECHNIQUES,WEST LECT 1,"R- 08:30 AM - 09:50 AM
R-10:00 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10035
ARCH 164-002,"Ogorzalek, Thomas      ",INTRO TO DESIGN II,WEST LECT 1WEST LECT 1,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10045
ARCH 164-004,"Ogorzalek, Thomas      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10046
ARCH 164-006,"Sollohub, Darius      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10047
ARCH 164-008,"Malellari, Enkela      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10048
ARCH 164-010,"Booth, Dorian      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10049
ARCH 164-012,"Hollberg, Benjamin      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10050
ARCH 164-014,"Verma, Neena      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10051
ARCH 164-016,"Hofmann, Kevin      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10052
ARCH 164-018,,INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10053
ARCH 164-H12,"Hollberg, Benjamin      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10054
ARCH 164-H14,"Verma, Neena      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10055
ARCH 164-H16,"Hofmann, Kevin      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10056
ARCH 164-H18,,INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10057
ARCH 164-HM1,"Booth, Dorian      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10058
ARCH 164-HM2,,INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10059
ARCH 164-HM4,"Ogorzalek, Thomas      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10060
ARCH 164-HM6,"Sollohub, Darius      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10061
ARCH 164-HM8,"Malellari, Enkela      ",INTRO TO DESIGN II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10062
ARCH 227-002,,ENVRMNTAL CONTROL SYSTEMS I,,TF- 08:30 AM - 09:50 AM,Mechanical & Electrical Equipment for Buildings,9781120000000,10063
ARCH 227-452,"Taher, Rima      ",ENVRMNTAL CONTROL SYSTEMS I,, -,,,15924
ARCH 229-002,,STRUCTURES I,,TF- 10:00 AM - 11:20 AM,,,10064
ARCH 229-004,"Taher, Rima      ",STRUCTURES I,WEST LECT 2,T- 01:00 PM - 03:50 PM,,,10065
ARCH 229-452,"Taher, Rima      ",STRUCTURES I,, -,,,15977
ARCH 252-002,"Altin, Ersin      ",HISTORY OF ARCH II,WEST LECT 1,F- 01:00 PM - 03:50 PM,,,10066
ARCH 264-002,"Orsini, Alessandro      ",ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10067
ARCH 264-004,"Orsini, Alessandro      ",ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10068
ARCH 264-006,"Peterson, Laura      ",ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10069
ARCH 264-008,"Talbot, Mark      ",ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10070
ARCH 264-010,"Gardner, Christopher      ",ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10071
ARCH 264-012,"Streich, Kurtis      ",ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10072
ARCH 264-014,,ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10073
ARCH 264-016,,ARCHITECTURE STUDIO II,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10074
ARCH 282-002,"Ogorzalek, Thomas      ",STRUCTURAL PRINCIPLES,CKB 313,M- 08:30 AM - 11:20 AM,,,10075
ARCH 310-002,"Cays, John      ",CO-OP WORK EXPERIENCE I,, -,,,10076
ARCH 312-002,"Moore, Sandy      ",ENVRNMNTL EDUCATION I,WEST 258,W- 11:30 AM - 02:20 PM,,,10077
ARCH 323-002,"Garcia, Figueroa Julio     ",CONSTRUCTION II,WEST LECT 1,MR- 10:00 AM - 11:20 AM,Building Construction Illustrated,9780470000000,10078
ARCH 337-002,"Benanti, Vincent      ",BLDG INFO MODELING,WEST 140,T- 08:30 AM - 11:20 AM,,,15568
ARCH 364-002,"Varela, Andrew      ",ARCHITECTURE STUDIO IV,CKB 303,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10079
ARCH 364-004,"Varela, Andrew      ",ARCHITECTURE STUDIO IV,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10080
ARCH 364-006,"Pellegrino, Erin      ",ARCHITECTURE STUDIO IV,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10081
ARCH 364-008,"Temelkuran, Bora      ",ARCHITECTURE STUDIO IV,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10082
ARCH 364-010,"Milans Del Bosch Gonzalez, Maria   ",ARCHITECTURE STUDIO IV,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10083
ARCH 364-012,,ARCHITECTURE STUDIO IV,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10084
ARCH 364-014,,ARCHITECTURE STUDIO IV,,"MR- 01:00 PM - 05:20 PM
W-08:30 AM - 11:20 AM",,,10085
ARCH 382-002,,HISTORY OF ARCH IV,WEST LECT 1WEST LECT 1,"T- 10:00 AM - 11:20 AM
T-01:00 PM - 02:20 PM",,,10086
ARCH 382-004,"Esperdy, Gabrielle      ",HISTORY OF ARCH IV,WEST LECT 1,T- 10:00 AM - 12:50 PM,"Modern Architecture Since 1900
Future of Architecture Since 1889
Critical History of Contemporary Architecture
Global History of Architecture","9780714833569
9780714845982
9781409439813
9780470402573",15560
ARCH 382-HM2,,HISTORY OF ARCH IV,,T- 10:00 AM - 11:20 AM,,,10087
ARCH 382-HM4,"Esperdy, Gabrielle      ",HISTORY OF ARCH IV,WEST LECT 1,T- 10:00 AM - 01:00 PM,"Global History of Architecture
Modern Architecture Since 1900
Future of Architecture Since 1889
Critical History of Contemporary Architecture","9780470402573
9780714833569
9780714845982
9781409439813",15565
ARCH 410-002,"Cays, John      ",CO-OP WORK EXPERIENCE II,, -,,,10088
ARCH 463-002,"Theodore, Georgeen      ",OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10089
ARCH 463-004,"Navin, Thomas      ",OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10090
ARCH 463-006,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10091
ARCH 463-008,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10092
ARCH 463-010,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10093
ARCH 463-012,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10094
ARCH 463-014,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10095
ARCH 463-016,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10096
ARCH 463-018,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10097
ARCH 463-020,,OPTIONS STUDIO I,,MR- 12:00 PM - 05:50 PM,,,10098
ARCH 464-002,"Theodore, Georgeen      ",OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10099
ARCH 464-004,"Navin, Thomas      ",OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10100
ARCH 464-006,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10101
ARCH 464-008,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10102
ARCH 464-010,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10103
ARCH 464-012,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10104
ARCH 464-014,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10105
ARCH 464-016,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10106
ARCH 464-018,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10107
ARCH 464-020,,OPTIONS STUDIO II,,MR- 12:00 PM - 05:50 PM,,,10108
ARCH 472-002,"Sollohub, Darius      ",PROGRAMMING & PROJ DEVELPMNT,KUPF 106,T- 02:30 PM - 05:20 PM,,,10109
ARCH 491-002,"Little, Frederick      ",INDEPENDENT STUDY,,MW- 08:30 AM - 09:50 AM,,,10110
ARCH 493-008,,INDEPENDENT STUDY,, -,,,10111
ARCH 493-010,,INDEPENDENT STUDY,, -,,,10112
ARCH 493-013,,INDEPENDENT STUDY,, -,,,10113
ARCH 493-014,,INDEPENDENT STUDY,, -,,,10114
ARCH 493-022,,INDEPENDENT STUDY,, -,,,10115
ARCH 500G-002,"Zarzycki, Andrzej      ",ADV ARCH GRAPHICS,WEST 140,W- 08:30 AM - 11:20 AM,,,10116
ARCH 502G-002,"Hurtado de Mendoza, Maria    ",GRADUATE ARCH DESIGN II,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10117
ARCH 502G-004,,GRADUATE ARCH DESIGN II,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10118
ARCH 504G-002,"Hurtado de Mendoza, Maria    ",GRADUATE ARCH DESIGN IV,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10119
ARCH 504G-004,,GRADUATE ARCH DESIGN IV,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10120
ARCH 506G-002,"Harp, Cleveland      ",ADVANCED DESIGN OPTIONS II,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10121
ARCH 506G-004,,ADVANCED DESIGN OPTIONS II,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10122
ARCH 507G-002,,GRADUATE ARCH DESIGN VII,,MR- 12:00 PM - 05:50 PM,,,10123
ARCH 507G-004,,GRADUATE ARCH DESIGN VII,,MR- 12:00 PM - 05:50 PM,,,10124
ARCH 529G-002,"Celik, Zeynep      ",HISTORY OF ARCH II,WEST 350,W- 11:30 AM - 02:20 PM,,,10125
ARCH 531H-002,"Celik, Zeynep      ",ASPECTS OF URBAN FORM,WEST 350,T- 10:00 AM - 12:50 PM,,,10126
ARCH 537-002,,ADVANCED STRUCTURES,,F- 01:00 PM - 03:50 PM,,,10127
ARCH 537-004,,ADVANCED STRUCTURES,,W- 11:30 AM - 02:20 PM,,,15817
ARCH 543G-002,,ENVIRONMTL CONTROL SYSTEMS I,,MR- 10:00 AM - 11:20 AM,,,10128
ARCH 543G-852,"Samiei, Kaveh      ",ENVIRONMTL CONTROL SYSTEMS I,, -,,,15978
ARCH 545G-852,"Taher, Rima      ",STRUCTURES I,, -,,,10129
ARCH 547G-102,"Bess, Mark      ",4D INTEGRATION,CKB 316,T- 06:00 PM - 08:50 PM,,,10130
ARCH 561-002,"Bess, Mark      ",INTEGRATED STUDIO SEMINAR,FMH 213,M- 08:30 AM - 11:20 AM,,,10131
ARCH 563-002,"Theodore, Georgeen      ",OPTIONS STUDIO III,,"M- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10132
ARCH 563-004,"Navin, Thomas      ",OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10133
ARCH 563-006,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10134
ARCH 563-008,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10135
ARCH 563-010,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10136
ARCH 563-012,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10137
ARCH 563-014,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10138
ARCH 563-016,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10139
ARCH 563-018,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10140
ARCH 563-020,,OPTIONS STUDIO III,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10141
ARCH 564-002,"Prince, William      ",INTEGRATED DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10142
ARCH 564-004,"Zarzycki, Andrzej      ",INTEGRATED DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10143
ARCH 564-006,"Zdepski, Michael      ",INTEGRATED DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10144
ARCH 564-008,,INTEGRATED DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10145
ARCH 564-010,,INTEGRATED DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10146
ARCH 565-002,"Bess, Mark      ",COMPREHENSIVE STUDIO LAB,FMH 213,M- 08:30 AM - 11:20 AM,,,10147
ARCH 566-014,"Hofmann, Kevin      ",ADV ARCH DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10148
ARCH 566-036,"Ogorzalek, Thomas      ",ADV ARCH DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10151
ARCH 566 -024,,ADVANCED ARCHITECTURE DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10149
ARCH 566 -032,,ADVANCED ARCHITECTURE DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10150
ARCH 566 -038,,ADVANCED ARCHITECTURE DESIGN STUDIO,,"MR- 12:00 PM - 05:50 PM
R-12:00 PM - 05:50 PM",,,10152
ARCH 579G-002,"Bess, Mark      ",PROF ARCH PRACTICE,KUPF 107,T- 10:00 AM - 12:50 PM,,,10153
ARCH 583-004,"Harp, Cleveland      ",ST: URBAN MORPHOLOGY: CITIES BY DESIGN,CKB 222,W- 11:30 AM - 02:20 PM,,,10155
ARCH 583-006,"Zarzycki, Andrzej      ",ST: DESIGN STRATEGIES FOR ZERO,WEST 258,R- 08:30 AM - 11:30 AM,,,15684
ARCH 583-102,"Cays, John      ",ST: LIFE CYCEL ASSESSMENT,WEST LECT 1,M- 06:00 PM - 08:50 PM,,,10156
ARCH 583-002,"Hurtado de Mendoza, Maria    ",ST: ORDERING SYSTEMS,WEST GALSEM,R- 08:30 AM - 11:20 AM,,,10154
ARCH 591-003,,INDEPENDENT STUDY,, -,,,10157
ARCH 591-013,,INDEPENDENT STUDY,, -,,,10158
ARCH 591-017,,INDEPENDENT STUDY,, -,,,10159
ARCH 591-022,,INDEPENDENT STUDY,, -,,,10160
ARCH 591-024,,INDEPENDENT STUDY,, -,,,10161
ARCH 591-026,,INDEPENDENT STUDY,, -,,,10162
ARCH 591-036,,INDEPENDENT STUDY,, -,,,10163
ARCH 592-017,,INDEPENDENT STUDY,, -,,,10164
ARCH 593-011,,INDEPENDENT STUDY,, -,,,10165
ARCH 593-016,,INDEPENDENT STUDY,, -,,,10166
ARCH 593-022,,INDEPENDENT STUDY,, -,,,10167
ARCH 593-024,,INDEPENDENT STUDY,, -,,,10168
ARCH 593-026,"Riether, Gernot      ",INDEPENDENT STUDY,, -,,,10169
ARCH 593-033,"Schwartz, Mathew      ",INDEPENDENT STUDY,, -,,,10170
ARCH 593-036,"Ogorzalek, Thomas      ",INDEPENDENT STUDY,, -,,,10171
ARCH 619-002,,ARCHITECTURL PHOTOGRAPHY,,W- 08:30 AM - 11:20 AM,,,10172
ARCH 619-004,"Prantis, Nina      ",ARCHITECTURL PHOTOGRAPHY,WEST 260,R- 08:30 AM - 11:30 AM,,,15685
ARCH 636-102,,METHODS OF URBAN HISTORY,,R- 06:00 PM - 08:50 PM,,,10173
ARCH 647-002,,SPECIAL TOP IN COMP APPL,,11:30 AM - 02:20 PM,,,10174
ARCH 647-004,"Benanti, Vincent      ",SPECIAL TOP IN COMP APPL,WEST 140,T- 01:00 PM - 04:00 PM,,,15764
ARCH 661-002,"Esperdy, Gabrielle      ",DIRECTED STUDIES IN ARCH,, -,,,10175
ARCH 661-004,"Franck, Karen      ",DIRECTED STUDIES IN ARCH,, -,,,10176
ARCH 661-005,"Celik, Zeynep      ",DIRECTED STUDIES IN ARCH,, -,,,10177
ARCH 661-006,"Theodore, Georgeen      ",DIRECTED STUDIES IN ARCH,, -,,,10178
ARCH 661-008,"Goldman, Glenn      ",DIRECTED STUDIES IN ARCH,, -,,,10179
ARCH 661-011,"Schwartz, Mathew      ",DIRECTED STUDIES IN ARCH,, -,,,10180
ARCH 661-012,,DIRECTED STUDIES IN ARCH,, -,,,10181
ARCH 661-013,,DIRECTED STUDIES IN ARCH,, -,,,10182
ARCH 661-017,,DIRECTED STUDIES IN ARCH,, -,,,10183
ARCH 661-019,,DIRECTED STUDIES IN ARCH,, -,,,10184
ARCH 661-020,"Riether, Gernot      ",DIRECTED STUDIES IN ARCH,, -,,,10185
ARCH 661-023,"Zarzycki, Andrzej      ",DIRECTED STUDIES IN ARCH,, -,,,10186
ARCH 661-024,"Little, Frederick      ",DIRECTED STUDIES IN ARCH,, -,,,10187
ARCH 661-031,,DIRECTED STUDIES IN ARCH,, -,,,10188
ARCH 661-036,,DIRECTED STUDIES IN ARCH,, -,,,10189
ARCH 661-037,,DIRECTED STUDIES IN ARCH,, -,,,10190
ARCH 661-039,,DIRECTED STUDIES IN ARCH,, -,,,10191
ARCH 661-041,,DIRECTED STUDIES IN ARCH,, -,,,10192
ARCH 661-440,,DIRECTED STUDIES IN ARCH,, -,,,10193
